Lambda,Alpha,Disease died average,End Nodes Average
0.8,0.9,1,0
0.8,1,1,0
0.81,0.9,1,0
0.81,1,1,0
0.82,0.9,1,0
0.82,1,1,0
0.83,0.9,1,0
0.83,1,1,0
0.84,0.9,1,0
0.84,1,1,0
0.85,0.9,1,0
0.85,1,1,0
0.86,0.9,1,0
0.86,1,1,0
0.87,0.9,1,0
0.87,1,1,0
0.88,0.9,1,0
0.88,1,1,0
0.89,0.9,1,0
0.89,1,1,0
0.9,0.9,1,0
0.9,1,1,0
0.91,0.9,1,0
0.91,1,1,0
0.92,0.9,1,0
0.92,1,1,0
0.93,0.9,1,0
0.93,1,1,0
0.94,0.9,1,0
0.94,1,1,0
0.95,0.9,1,0
0.95,1,1,0
0.96,0.9,1,0
0.96,1,1,0
0.97,0.9,1,0
0.97,1,1,0
0.98,0.9,1,0
0.98,1,1,0
0.99,0.9,1,0
0.99,1,1,0
1,0.9,1,0
1,1,1,0
1.01,0.9,1,0
1.01,1,1,0
1.02,0.9,1,0
1.02,1,1,0
1.03,0.9,1,0
1.03,1,1,0
1.04,0.9,1,0
1.04,1,1,0
1.05,0.9,1,0
1.05,1,1,0
1.06,0.9,1,0
1.06,1,1,0
1.07,0.9,1,0
1.07,1,1,0
1.08,0.9,1,0
1.08,1,1,0
1.09,0.9,1,0
1.09,1,1,0
1.1,0.9,1,0
1.1,1,1,0
1.11,0.9,1,0
1.11,1,1,0
1.12,0.9,1,0
1.12,1,1,0
1.13,0.9,1,0
1.13,1,1,0
1.14,0.9,1,0
1.14,1,1,0
1.15,0.9,1,0
1.15,1,1,0
1.16,0.9,1,0
1.16,1,1,0
1.17,0.9,1,0
1.17,1,1,0
1.18,0.9,1,0
1.18,1,1,0
1.19,0.9,1,0
1.19,1,1,0
1.2,0.9,1,0
1.2,1,1,0
1.21,0.9,1,0
1.21,1,1,0
1.22,0.9,1,0
1.22,1,1,0
1.23,0.9,1,0
1.23,1,1,0
1.24,0.9,1,0
1.24,1,1,0
1.25,0.9,1,0
1.25,1,1,0
1.26,0.9,1,0
1.26,1,1,0
1.27,0.9,1,0
1.27,1,1,0
1.28,0.9,1,0
1.28,1,1,0
1.29,0.9,1,0
1.29,1,1,0
1.3,0.9,1,0
1.3,1,1,0
1.31,0.9,1,0
1.31,1,1,0
1.32,0.9,1,0
1.32,1,1,0
1.33,0.9,1,0
1.33,1,1,0
1.34,0.9,1,0
1.34,1,1,0
1.35,0.9,1,0
1.35,1,1,0
1.36,0.9,1,0
1.36,1,1,0
1.37,0.9,1,0
1.37,1,1,0
1.38,0.9,1,0
1.38,1,1,0
1.39,0.9,1,0
1.39,1,1,0
1.4,0.9,1,0
1.4,1,1,0
1.41,0.9,0.99,0.41
1.41,1,1,0
1.42,0.9,1,0
1.42,1,1,0
1.43,0.9,0.99,0.05
1.43,1,1,0
1.44,0.9,1,0
1.44,1,1,0
1.45,0.9,0.97,1.43
1.45,1,1,0
1.46,0.9,0.94,2.04
1.46,1,1,0
1.47,0.9,0.89,5.59
1.47,1,1,0
1.48,0.9,0.85,9.22
1.48,1,1,0
1.49,0.9,0.81,13.38
1.49,1,1,0
1.5,0.9,0.78,19.01
1.5,1,1,0
